NEW_feature	feature1
miRNA	mir-156
miRNA	mir-160
miRNA	mir-166
miRNA	mir-172
miRNA	mir-393
miRNA	mir-395
miRNA	mir-399
miRNA	MIR159
miRNA	MIR162_2
miRNA	MIR164
miRNA	MIR168
miRNA	MIR169_2
miRNA	MIR169_5
miRNA	MIR171_1
miRNA	MIR390
miRNA	MIR394
miRNA	MIR396
miRNA	MIR397
miRNA	MIR398
miRNA	MIR408
miRNA	MIR828
mRNA	Histone3
ncRNA	5_ureB_sRNA
ncRNA	enod40
ncRNA	group-II-D1D4-3
ncRNA	IsrR
ncRNA	Metazoa_SRP
ncRNA	RNase_MRP
ncRNA	TPP
rRNA	5_8S_rRNA
rRNA	5S_rRNA
rRNA	Intron_gpI
rRNA	Intron_gpII
rRNA	LSU_rRNA_archaea
rRNA	LSU_rRNA_bacteria
rRNA	LSU_rRNA_eukarya
rRNA	Plant_SRP
rRNA	Protozoa_SRP
rRNA	SSU_rRNA_archaea
rRNA	SSU_rRNA_bacteria
rRNA	SSU_rRNA_eukarya
rRNA	SSU_rRNA_microsporidia
snoRNA	Plant_U3
snoRNA	snoJ33
snoRNA	snoR1
snoRNA	snoR100
snoRNA	snoR103
snoRNA	snoR104
snoRNA	snoR109
snoRNA	snoR11
snoRNA	snoR111
snoRNA	snoR113
snoRNA	snoR114
snoRNA	snoR116
snoRNA	snoR117
snoRNA	snoR118
snoRNA	snoR12
snoRNA	snoR126
snoRNA	snoR128
snoRNA	snoR134
snoRNA	snoR135
snoRNA	snoR136
snoRNA	snoR137
snoRNA	snoR138
snoRNA	snoR14
snoRNA	snoR143
snoRNA	snoR145
snoRNA	snoR16
snoRNA	snoR160
snoRNA	snoR2
snoRNA	snoR20a
snoRNA	snoR21
snoRNA	snoR24
snoRNA	snoR26
snoRNA	snoR27
snoRNA	snoR28
snoRNA	snoR30
snoRNA	snoR31
snoRNA	snoR31_Z110_Z27
snoRNA	snoR32_R81
snoRNA	snoR35
snoRNA	snoR38
snoRNA	snoR41
snoRNA	snoR44_J54
snoRNA	snoR53Y
snoRNA	snoR60
snoRNA	snoR64
snoRNA	snoR64a
snoRNA	snoR66
snoRNA	snoR69Y
snoRNA	snoR71
snoRNA	snoR74
snoRNA	SNOR75
snoRNA	snoR77
snoRNA	snoR77Y
snoRNA	snoR80
snoRNA	snoR83
snoRNA	snoR86
snoRNA	snoR8a
snoRNA	snoR97
snoRNA	snoR98
snoRNA	snoR99
snoRNA	SNORD14
snoRNA	SNORD18
snoRNA	SNORD24
snoRNA	SNORD25
snoRNA	SNORD34
snoRNA	SNORD36
snoRNA	SNORD96
snoRNA	snosnR60_Z15
snoRNA	snoU19
snoRNA	snoU30
snoRNA	snoU31b
snoRNA	snoU36a
snoRNA	snoU49
snoRNA	snoU61
snoRNA	snoU83
snoRNA	snoZ101
snoRNA	snoZ102_R77
snoRNA	snoZ103
snoRNA	snoZ105
snoRNA	snoZ107_R87
snoRNA	snoZ112
snoRNA	snoZ122
snoRNA	snoZ152
snoRNA	snoZ155
snoRNA	snoZ157
snoRNA	snoZ159
snoRNA	snoZ161_228
snoRNA	snoZ162
snoRNA	snoZ196
snoRNA	snoZ199
snoRNA	snoZ221_snoR21b
snoRNA	snoZ223
snoRNA	snoZ266
snoRNA	snoZ267
snoRNA	snoZ278
snoRNA	snoZ279_R105_R108
snoRNA	snoZ43
snoRNA	U3
snRNA	U1
snRNA	U11
snRNA	U12
snRNA	U2
snRNA	U4
snRNA	U5
snRNA	U54
snRNA	U6
snRNA	U6atac
snRNA	WsnRNA46
tRNA	tRNA
